census_year,HEI_code,HEI_name,administrative_structure,academic_status,maintainer_code,headquarters_region,headquarters_state,headquarters_city,institution_type,own_revenue,transferred_revenue,other_revenue,faculty_expenses,staff_expenses,social_contribution_expenses,cost_expenses,investment_expenses,research_expenses,other_expenses
2019,2799,FANEESP - FACULDADE NACIONAL DE EDUCAÇÃO E ENSINO SUPERIOR DO PARANÁ,private_for_profit,faculty,1275,4,41,4101804,2,1562667.95,0,6354.04,446423.94,467627.59,254720.51,0,9936.79,0,375360.52
2019,2805,FACULDADE MODELO,private_for_profit,faculty,1826,4,41,4106902,1,1102520.87,0,15338.68,288527.65,83684.17,168435.36,331683.63,0,0,17882.66
2019,2806,FACULDADE EVANGÉLICA DE SÃO PAULO,private_nonprofit,faculty,1827,3,35,3550308,2,360000,0,150000,234500,75520,72521,8520,20000,5200,23200
2019,2808,FACULDADES ITECNE DE CASCAVEL,private_for_profit,faculty,1829,4,41,4104808,1,1577158.2,0,115165.16,571335.97,524206.76,74146.12,75577,101500,19050,325656
2019,2811,FACULDADE PAULUS DE TECNOLOGIA E COMUNICAÇÃO,private_nonprofit,faculty,1832,3,35,3550308,2,11357690.37,0,5930487.99,5864699.53,1102092.64,1720728.93,6085765.47,127731.98,97602.39,397372.85
2019,2814,FACULDADE SÃO SEBASTIÃO,private_for_profit,faculty,1834,3,35,3550704,1,7172025.18,0,434754.11,1847274.37,777558.68,1969649.95,1947691.23,242596.94,15206.51,1854547.3
2019,2821,Faculdade Meridional RS,private_for_profit,faculty,1554,4,43,4314902,1,73846796.92,0,3600843.52,17023138.17,4517125.56,13778299.56,20256325.44,3127380.43,2523330.72,7903999.2
2019,2826,FACULDADE NOSSA SENHORA DE FÁTIMA,private_nonprofit,faculty,1843,4,43,4305108,2,5632032.45,0,140757.19,1461080.7,411902.27,277684.78,257875.57,33424.61,0,3150463.45
2019,2827,FACULDADE EVANGÉLICA DO PIAUI,private_for_profit,faculty,15973,2,22,2211001,1,897795.43,0,421557.54,720000,225180,231250,0,0,0,0
2019,2831,FACULDADE DOM BOSCO DE GOIOERÊ,private_nonprofit,faculty,1195,4,41,4108601,2,2183795.04,0,0,240226.62,21222.98,32029.72,1483111.01,594,0,192219.39
2019,2832,Faculdade Sucesso,private_for_profit,faculty,17182,2,22,2200202,1,6086038,216564,453851,379812,306567.83,85169,301513,305000,113330,1070357.8
