HEI_code,HEI_name,fac_qual,sci_work,acad_manag,spat_dist,train_offer,employment,acad_form,legal_system,ownership,tec_prof,logic_train,logic_schol,logic_relig,logic_comm,logic_market,logic_state,logic_number
453,CENTRO UNIVERSITÁRIO LUTERANO DE PALMAS,0.24,0.0342857142857143,1,1,1,0.382857142857143,university_center,private,confessional,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,4
454,FACULDADE CAMAQÜENSE DE CIÊNCIAS CONTÁBEIS E ADMINISTRATIVAS,0.0645161290322581,0.0967741935483871,0.0967741935483871,1,0,0.0967741935483871,faculty,private,communitary,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,3
456,CENTRO UNIVERSITÁRIO SANT¿ANNA,0.278481012658228,0.139240506329114,0.164556962025316,2,34,0.291139240506329,university_center,private,,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,3
457,UNIVERSIDADE ANHANGUERA DE SÃO PAULO,0.272010512483574,0.23915900131406,0.0840998685939553,8,27,0.274638633377135,university,private,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2
458,UNIVERSIDADE IBIRAPUERA,0.494071146245059,0.260869565217391,0.138339920948617,1,4,0.450592885375494,university,private,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2
461,FACULDADE ARMANDO ALVARES PENTEADO,0.416216216216216,0,0.0756756756756757,1,2,0.183783783783784,faculty,private,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2
466,UNIVERSIDADE ANHEMBI MORUMBI,0.302752293577982,0.0848623853211009,0.0378440366972477,8,58,0.463302752293578,university,private,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2
472,UNIVERSIDADE DO GRANDE RIO PROFESSOR JOSÉ DE SOUZA HERDY,0.320534223706177,0.0617696160267112,0.145242070116861,10,25,0.347245409015025,university,private,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,3
473,"FACULDADE DE CIÊNCIAS ECONÔMICAS, ADMINISTRATIVAS E DA COMPUTAÇÃO DOM BOSCO",0.166666666666667,0.0555555555555556,0.597222222222222,1,3,0.180555555555556,faculty,private,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2
474,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DOM BOSCO,0.310344827586207,0.103448275862069,0.327586206896552,1,0,0.137931034482759,faculty,private,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2
475,FACULDADE DE MEDICINA DE PETRÓPOLIS,0.29512893982808,0.0458452722063037,0.249283667621777,1,0,0.246418338108883,faculty,private,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2
480,CENTRO UNIVERSITÁRIO SERRA DOS ÓRGÃOS,0.254697286012526,0.432150313152401,0.32776617954071,2,0,0.196242171189979,university_center,private,,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,3
481,Universidade Universus Veritas Guarulhos,0.364583333333333,0.00260416666666667,0,6,33,0.421875,university,private,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2
