program_code,HEI_code,active,program_name,campus_code,program_cine_code,degree_type,program_type,course_load,percent_dist,students_enrolled
51888,1970,active,SISTEMA DE INFORMAÇÃO,1086805,0615S02,bachelor,classroom,3000,20,105
51893,55,active,ENGENHARIA DE ALIMENTOS,1300,0721E01,bachelor,classroom,3825,0,597
51895,1295,active,GESTÃO DA QUALIDADE,1082008,0413G02,technology,classroom,1650,0,13
51906,3193,active,AGRONOMIA,1066349,0811A04,bachelor,classroom,4270,1,301
51917,585,active,LETRAS - ALEMÃO,1005565,0115L01,license,classroom,2825,0,2
51918,3151,active,ADMINISTRAÇÃO,1906,0413A01,bachelor,classroom,3080,0,49
51922,1978,active,ADMINISTRAÇÃO,1077726,0413A01,bachelor,classroom,3070,10,649
51931,1873,active,EDUCAÇÃO FÍSICA,658833,0114E03,license,classroom,2880,40,23
51937,585,active,LETRAS - ESPANHOL,1005565,0115L02,license,classroom,2825,0,2
51938,585,active,LETRAS - FRANCÊS,1005565,0115L03,license,classroom,2825,0,5
51941,585,active,LETRAS - INGLÊS,1005565,0115L04,license,classroom,2825,0,11
51942,1980,active,ADMINISTRAÇÃO,658919,0413A01,bachelor,classroom,3000,20,98
51943,585,active,LETRAS - ITALIANO,1005565,0115L05,license,classroom,2825,0,3
51945,585,active,LETRAS - LÍNGUA PORTUGUESA,1005565,0115L13,license,classroom,2934,0,42
51947,3304,active,JORNALISMO,659444,0321J01,bachelor,classroom,3000,0,22
51948,3304,active,ENFERMAGEM,659444,0913E01,bachelor,classroom,4000,0,457
51958,55,active,CIÊNCIAS DOS ALIMENTOS,1299,0721A01,bachelor,classroom,3765,0,181
51962,55,active,CIÊNCIAS BIOLÓGICAS,1299,0114B01,license,classroom,3945,0,92
51964,55,active,GESTÃO AMBIENTAL,1299,0712G01,bachelor,classroom,3045,0,176
51966,55,active,FISIOTERAPIA,1078743,0915F01,bachelor,classroom,4140,0,185
51968,55,active,TERAPIA OCUPACIONAL,1078743,0915T01,bachelor,classroom,3375,0,91
51970,55,active,ENGENHARIA AERONÁUTICA,1079833,0716E02,bachelor,classroom,4410,0,231
51972,55,active,PEDAGOGIA,1079796,0113P01,license,classroom,3240,0,189
51975,55,active,OCEANOGRAFIA,1075932,0532O01,bachelor,classroom,4410,0,196
51987,82,active,DESIGN,707692,0212D02,bachelor,classroom,2740,20,64
51988,374,active,DESIGN,705961,0212D02,bachelor,classroom,3000,19.07,19
51993,82,active,ENGENHARIA ELÉTRICA,657724,0713E05,bachelor,classroom,3900,20,97
51995,82,active,EDUCAÇÃO FÍSICA,657724,0114E03,license,classroom,2820,20,95
52003,569,active,FARMÁCIA,1005925,0916F01,bachelor,classroom,5302,0,385
52007,221,active,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,657790,0615S02,technology,classroom,2000,20,280
52013,4826,active,ADMINISTRAÇÃO,32681,0413A01,bachelor,classroom,3000,18,256
52021,1986,active,ADMINISTRAÇÃO,101198,0413A01,bachelor,classroom,3092,20,337
52031,398,active,ENGENHARIA AMBIENTAL,657873,0712E01,bachelor,classroom,4000,9.5,72
