HEI_code,students_total,students_bachelor,students_license,students_technology,students_base_cycle,students_certification,students_classroom,students_distance,dist_load,campi,census_year,HEI_name,administrative_structure,academic_status,maintainer_code,headquarters_region,headquarters_state,headquarters_city,institution_type,own_revenue,transferred_revenue,other_revenue,faculty_expenses,staff_expenses,social_contribution_expenses,cost_expenses,investment_expenses,research_expenses,other_expenses,teaching_bac_dist,teaching_bac_pres,teaching_post_dist,teaching_post_pres,service_external,service_management,research,research_w_funding,full_time_ex,full_time_nex,part_time,hourly_contract,doctor,master,specialist,bachelor,none,active,communitary,confessional,filantropic
14401,204,3,0,3,0,0,6,0,0.2,1,2019,FACULDADE DE TECNOLOGIA PORTO DAS MONÇÕES,private_for_profit,faculty,10017,3,35,3540606,2,1291786.82,0,0,497875.65,203657.98,145543.21,477654.32,0,0,0,0,0.945945945945946,0,0,0.972972972972973,0.0540540540540541,1,0,0.0540540540540541,0.108108108108108,0.216216216216216,0.621621621621622,0.0810810810810811,0.297297297297297,0.621621621621622,0,0,TRUE,FALSE,FALSE,FALSE
14403,2123,18,2,7,0,0,27,0,0.2,1,2019,FACULDADE CESUMAR,private_for_profit,faculty,560,4,41,4106902,1,624834319,0,55402991.48,89204203.73,86608512.06,54101081.69,272056800.79,64962409.23,3371290,85039531.81,0,1,0,0,0.304878048780488,0.0731707317073171,0.25609756097561,0.0121951219512195,0,0.134146341463415,0.560975609756098,0.304878048780488,0.231707317073171,0.670731707317073,0.0975609756097561,0,0,TRUE,FALSE,FALSE,FALSE
14408,3823,2,12,11,1,0,26,0,0.0230769230769231,9,2019,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIENCIA E TECNOLOGIA DE BRASILIA",federally_owned,federal_institute,13489,5,53,5300108,2,252161294,6409676.11,1278523.29,149582175.94,0,37724653.18,37479137.17,11509769.23,981197.34,0,0,0.956043956043956,0.00659340659340659,0.021978021978022,0.646153846153846,0.323076923076923,0.747252747252747,0.0021978021978022,0.914285714285714,0.0703296703296703,0.0131868131868132,0.0021978021978022,0.417582417582418,0.443956043956044,0.123076923076923,0.0153846153846154,0,TRUE,FALSE,FALSE,FALSE
14412,70,0,0,1,0,0,1,0,0,1,2019,FACULDADE DE TECNOLOGIA SENAI PERNAMBUCO,private_nonprofit,faculty,13506,2,26,2611606,2,552118.36,0,0,274478.79,220027.46,574490.98,31592.79,390526.46,0,117870.41,0,1,0,0,1,0.0909090909090909,0.181818181818182,0,0,0.727272727272727,0.181818181818182,0.0909090909090909,0.0909090909090909,0.545454545454545,0.363636363636364,0,0,TRUE,FALSE,FALSE,FALSE
14429,3335,17,1,6,0,0,24,0,0.164583333333333,1,2019,FACULDADE PITÁGORAS DE MACEIÓ,private_for_profit,faculty,1204,2,27,2704302,1,620101531.22,0,108644988.89,109667973.44,624036.96,58482188.24,111079420.2,20048344.87,0,278085110.3,0,0.972789115646258,0.0408163265306122,0.217687074829932,0.170068027210884,0.0748299319727891,0.27891156462585,0.0204081632653061,0,0.374149659863946,0.360544217687075,0.26530612244898,0.435374149659864,0.299319727891156,0.26530612244898,0,0,TRUE,FALSE,FALSE,FALSE
14509,1786,5,8,6,0,0,19,0,0,9,2019,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO",federally_owned,federal_institute,13736,2,29,2927408,2,833449.83,337134607.37,0,255968232.43,0,833449.83,74182526.55,6983848.39,0,0,0,0.988603988603989,0,0.102564102564103,0.304843304843305,0.210826210826211,0.293447293447293,0.0598290598290598,0.911680911680912,0.0655270655270655,0.0227920227920228,0,0.478632478632479,0.438746438746439,0.0769230769230769,0.0056980056980057,0,TRUE,FALSE,FALSE,FALSE
14609,169,0,0,1,0,0,1,0,0,1,2019,FACULDADE DE TECNOLOGIA SENAI CONDE JOSÉ VICENTE DE AZEVEDO,private_nonprofit,faculty,796,3,35,3550308,2,1064765.72,0,0,425256.24,266146.76,159449.83,199877.74,0,0,0,0,1,0,0,0,0,0,0,0,0,0.333333333333333,0.666666666666667,0,0.555555555555556,0.444444444444444,0,0,FALSE,FALSE,FALSE,FALSE
14622,209,2,3,0,0,0,5,0,0,1,2019,FACULDADES INTEGRADAS DE SERGIPE,private_for_profit,faculty,13769,2,28,2807402,2,2475684.7,0,0,742705.41,203462.06,586623.83,399725.45,154170.08,0,438438.18,0,1,0,0,0,0,0,0,0,0,0.137931034482759,0.862068965517241,0.103448275862069,0.448275862068966,0.448275862068966,0,0,TRUE,FALSE,FALSE,FALSE
14715,840,10,2,3,0,0,15,0,0,1,2019,FACULDADE PIAGET,private_nonprofit,faculty,13938,3,35,3552502,1,6429336.65,0,13274410.07,2190990.23,1031054.22,1306851.85,95428.31,0,0,21363653.53,0,1,0,0,0.753086419753086,0.444444444444444,0.62962962962963,0,0.0123456790123457,0.0246913580246914,0.802469135802469,0.160493827160494,0.160493827160494,0.358024691358025,0.481481481481482,0,0,TRUE,FALSE,FALSE,FALSE
14717,5686,15,1,3,0,0,19,0,0,1,2019,FACULDADE UNINASSAU CARUARU,private_for_profit,faculty,1847,2,26,2604106,1,501481482.63,0,4390859.23,91041189.93,56981871.96,93066796.38,41174925.96,9123227.09,0,234868087.27,0,1,0,0,0,0,0,0,0,0.368421052631579,0.263157894736842,0.368421052631579,0.315789473684211,0.546052631578947,0.138157894736842,0,0,TRUE,FALSE,FALSE,FALSE
